State,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,Foreign Country,year
Arkansas,86375,"1,911",64,"1,776",N/A,"7,783","2,562",210,0,0,"7,065",497,74,"1,190","2,383","1,330",460,"1,184","2,581","4,994",74,"1,212",145,405,"1,171","3,380","3,905",238,270,630,62,113,"1,275",666,451,0,586,"5,995","1,809",267,35,400,0,"4,970","17,105",470,146,978,"2,703",43,481,326,18,8719,2022
California,475803,"5,204","2,040","27,412",963,N/A,"19,970","4,977","1,818","4,443","28,557","11,002","10,747","5,567","24,559","5,422","2,187","3,387","3,471","3,954",939,"7,903","15,540","11,714","5,143",880,"6,369","2,432","3,047","22,183",624,"13,162","2,585","31,255","13,302",291,"10,031","2,576","23,792","13,544","1,755","5,581",572,"5,498","42,279","13,149","1,206","15,373","31,866",42,"4,407","1,083","1,804",298151,2022
Colorado,229876,700,"1,961","7,386","2,557","33,213",N/A,653,64,"2,679","11,107","3,360","1,070","4,345","9,281","2,455","2,212","3,363","1,413","1,520",455,"3,033","3,976","3,711","4,690","2,175","6,137",924,"3,759","2,134",975,"3,928","3,844","8,526","6,165",752,"4,941","4,516","5,785","4,557","1,023","1,912","2,244","5,702","25,466","4,877","1,316","6,727","6,796",918,"4,080","4,493",467,33490,2022
Connecticut,145315,"1,005",97,"1,267",625,"7,097","1,992",N/A,51,"1,607","7,476","3,478",189,507,"3,290",674,167,0,563,75,"1,137","2,460","21,256","3,100",894,304,"1,012",40,78,"1,073",708,"8,087",60,"50,670","3,897",0,595,"1,730",160,"2,298","3,977",701,0,507,"2,920",347,"1,414","3,481","1,670",0,579,0,714,25003,2022
Delaware,46162,203,0,949,0,660,123,198,N/A,202,"1,339",293,82,0,"1,256",153,0,77,58,0,352,"9,709",384,462,18,0,768,0,0,437,0,"5,312",159,"4,603","2,250",0,182,0,0,"11,392",0,"1,254",178,241,692,0,0,"1,990",171,0,15,0,150,4444,2022
District of Columbia,64506,419,0,712,21,"4,539","1,187","1,401",352,N/A,"2,932","2,289",41,230,"2,548",253,49,136,79,205,79,"13,093","1,401","1,337",817,23,440,0,55,97,304,"3,093",453,"5,647","1,519",0,"1,011",231,264,"2,493",679,773,137,614,"2,788",387,153,"7,496","1,216",96,417,0,110,12618,2022
Florida,738969,"14,734","1,418","11,901","3,204","50,701","20,980","13,620","3,118","2,830",N/A,"39,990","2,858","3,374","35,262","11,790","2,163","5,111","8,141","8,497","6,242","23,422","20,320","23,781","9,192","3,937","10,919","1,302","2,779","7,516","6,001","47,000","3,551","91,201","24,601",347,"27,257","2,965","5,221","35,384","3,816","14,825","2,714","20,651","38,207","4,551","1,575","32,932","11,804","4,817","10,167",280,"12,179",252420,2022
Georgia,327795,"21,031",210,"1,798",531,"25,960","5,419","2,526",585,"1,243","51,380",N/A,"2,642","1,051","11,096","4,937",530,"1,862","1,941","4,426",272,"6,706","3,299","5,816","1,825","1,986","4,341",966,712,"3,357",886,"8,295","1,029","16,535","23,175",218,"5,221","2,077","1,594","9,223",118,"18,328",297,"18,785","23,754","2,753",0,"14,204","8,761","1,635","2,177",282,454,59370,2022
Hawaii,56209,"1,611",773,"2,750",75,"10,562","2,750",597,246,74,"1,442","2,823",N/A,120,"1,133",229,40,254,820,782,270,"1,269",397,524,264,503,627,170,568,"1,460",110,383,429,982,"1,931",222,654,52,"1,734",903,0,"1,488",0,956,"5,966","1,141",38,"1,775","4,090",0,222,0,36,11604,2022
Idaho,87949,0,411,"3,633",299,"26,887","1,655",322,0,0,"1,109","1,548","1,046",N/A,314,6,218,"1,482",0,120,44,"1,426",577,523,"1,315",0,501,"1,250","1,066","1,894",61,173,376,880,815,429,224,232,"8,410",267,0,"1,392",126,191,"2,868","7,812",0,415,"14,387",0,369,876,63,8946,2022
Illinois,228308,"2,389",434,"5,377","1,468","20,573","6,720",474,218,"1,028","14,078","7,424",785,839,N/A,"13,792","8,532","2,072","4,087","1,823",304,"2,260","5,625","12,283","3,743",853,"15,923",242,"1,580","1,135",120,"3,576",827,"12,072","5,384",630,"11,296","1,353","1,706","4,475",91,"1,706",46,"7,420","19,949",349,98,"3,866","3,965",105,"12,764",449,362,73644,2022
